loc,c,d,m
ILOCOS SUR,303,0,2
ILOCOS SUR,197,0,3
ILOCOS SUR,182,0,4
ILOCOS SUR,210,0,5
ILOCOS SUR,505,1,6
ILOCOS SUR,1769,6,7
ILOCOS SUR,2637,3,8
ILOCOS SUR,1797,4,9
ILOCOS SUR,990,4,10
ILOCOS SUR,740,0,11
ILOCOS SUR,594,0,12
ILOILO,749,3,1
ILOILO,857,4,2
ILOILO,1017,4,3
ILOILO,762,5,4
ILOILO,950,3,5
ILOILO,2965,12,6
ILOILO,8892,28,7
ILOILO,11410,33,8
ILOILO,5673,115,9
ILOILO,2024,78,10
ILOILO,933,2,11
ILOILO,923,0,12
ILOILO CITY,322,1,1
ILOILO CITY,337,2,2
ILOILO CITY,287,4,3
ILOILO CITY,113,0,4
ILOILO CITY,124,0,5
ILOILO CITY,202,0,6
ILOILO CITY,1062,6,7
ILOILO CITY,1951,12,8
ILOILO CITY,1295,35,9
ILOILO CITY,570,34,10
ILOILO CITY,291,1,11
ILOILO CITY,211,0,12
ISABELA,1328,11,1
ISABELA,1369,2,2
ISABELA,925,2,3
ISABELA,422,1,4
ISABELA,385,3,5
ISABELA,685,4,6
ISABELA,1550,12,7
ISABELA,2593,5,8
ISABELA,2457,9,9
ISABELA,1879,12,10
ISABELA,1584,9,11
ISABELA,1477,8,12
ISABELA CITY,208,1,1
ISABELA CITY,190,1,2
ISABELA CITY,155,0,3
ISABELA CITY,107,2,4
ISABELA CITY,172,0,5
ISABELA CITY,229,2,6
ISABELA CITY,372,2,7
ISABELA CITY,298,2,8
ISABELA CITY,261,8,9
ISABELA CITY,219,16,10
ISABELA CITY,221,1,11
ISABELA CITY,181,0,12
KALINGA,374,2,1
KALINGA,288,0,2
KALINGA,197,0,3
KALINGA,92,0,4
KALINGA,95,0,5
KALINGA,204,0,6
KALINGA,642,1,7
KALINGA,1110,3,8
KALINGA,867,94,9
KALINGA,648,58,10
KALINGA,407,4,11
KALINGA,370,2,12
LA UNION,421,5,1
LA UNION,276,2,2
LA UNION,204,0,3
LA UNION,195,0,4
LA UNION,224,0,5
LA UNION,417,0,6
LA UNION,1241,2,7
LA UNION,1589,4,8
LA UNION,1498,4,9
LA UNION,789,1,10
LA UNION,747,0,11
LA UNION,860,0,12
LAGUNA,3244,12,1
LAGUNA,2650,8,2
LAGUNA,1951,8,3
LAGUNA,913,0,4
LAGUNA,690,2,5
LAGUNA,1247,5,6
LAGUNA,3575,7,7
LAGUNA,6680,13,8
LAGUNA,9171,20,9
LAGUNA,5543,13,10
LAGUNA,3576,9,11
LAGUNA,2773,11,12
LANAO DEL NORTE,623,3,1
LANAO DEL NORTE,582,3,2
LANAO DEL NORTE,530,7,3
LANAO DEL NORTE,367,3,4
LANAO DEL NORTE,381,2,5
LANAO DEL NORTE,704,3,6
LANAO DEL NORTE,1408,19,7
LANAO DEL NORTE,1427,4,8
LANAO DEL NORTE,934,16,9
LANAO DEL NORTE,595,13,10
LANAO DEL NORTE,1218,4,11
LANAO DEL NORTE,688,1,12
LANAO DEL SUR,251,1,1
LANAO DEL SUR,282,2,2
LANAO DEL SUR,248,2,3
LANAO DEL SUR,128,3,4
LANAO DEL SUR,195,4,5
LANAO DEL SUR,354,3,6
LANAO DEL SUR,652,2,7
LANAO DEL SUR,744,1,8
LANAO DEL SUR,661,34,9
LANAO DEL SUR,451,38,10
LANAO DEL SUR,334,0,11
LANAO DEL SUR,308,3,12
LAPU-LAPU CITY,934,4,1
LAPU-LAPU CITY,627,5,2
LAPU-LAPU CITY,354,1,3
LAPU-LAPU CITY,175,1,4
LAPU-LAPU CITY,181,1,5
LAPU-LAPU CITY,201,3,6
