loc,cases,deaths,day,month,year
53,11,1,20,11,2016
53,6,0,27,11,2016
53,4,0,4,12,2016
53,4,0,11,12,2016
53,1,0,18,12,2016
53,1,0,25,12,2016
53,1,0,1,1,2017
56,33,0,10,1,2016
56,35,0,17,1,2016
56,38,0,24,1,2016
56,19,0,31,1,2016
56,29,0,7,2,2016
56,16,0,14,2,2016
56,13,0,21,2,2016
56,14,0,28,2,2016
56,15,0,6,3,2016
56,16,0,13,3,2016
56,16,0,20,3,2016
56,19,0,27,3,2016
56,17,0,3,4,2016
56,19,0,10,4,2016
56,14,0,17,4,2016
56,11,0,24,4,2016
56,15,0,1,5,2016
56,10,0,8,5,2016
56,11,0,15,5,2016
56,12,0,22,5,2016
56,14,0,29,5,2016
56,18,0,5,6,2016
56,16,0,12,6,2016
56,22,0,19,6,2016
56,38,0,26,6,2016
56,25,0,3,7,2016
56,45,0,10,7,2016
56,46,0,17,7,2016
56,90,0,24,7,2016
56,82,0,31,7,2016
56,118,0,7,8,2016
56,106,0,14,8,2016
56,97,0,21,8,2016
56,113,0,28,8,2016
56,116,0,4,9,2016
56,118,0,11,9,2016
56,78,0,18,9,2016
56,93,0,25,9,2016
56,67,1,2,10,2016
56,55,0,9,10,2016
56,50,0,16,10,2016
56,41,0,23,10,2016
56,22,0,30,10,2016
56,30,0,6,11,2016
56,39,0,13,11,2016
56,20,0,20,11,2016
56,15,0,27,11,2016
56,14,0,4,12,2016
56,15,0,11,12,2016
56,16,0,18,12,2016
56,2,0,25,12,2016
56,3,0,1,1,2017
57,353,0,10,1,2016
57,253,0,17,1,2016
57,259,0,24,1,2016
57,232,2,31,1,2016
57,180,1,7,2,2016
57,194,0,14,2,2016
57,153,0,21,2,2016
57,153,0,28,2,2016
57,125,0,6,3,2016
57,115,2,13,3,2016
57,115,1,20,3,2016
57,95,1,27,3,2016
57,77,0,3,4,2016
57,77,0,10,4,2016
57,67,0,17,4,2016
57,39,0,24,4,2016
57,38,0,1,5,2016
57,42,0,8,5,2016
57,45,0,15,5,2016
57,42,0,22,5,2016
57,47,0,29,5,2016
57,53,0,5,6,2016
57,48,1,12,6,2016
57,45,0,19,6,2016
57,70,0,26,6,2016
57,74,0,3,7,2016
57,109,0,10,7,2016
57,125,0,17,7,2016
57,188,0,24,7,2016
57,197,1,31,7,2016
57,198,0,7,8,2016
57,213,0,14,8,2016
57,193,0,21,8,2016
57,219,0,28,8,2016
57,235,0,4,9,2016
57,217,1,11,9,2016
57,219,1,18,9,2016
57,219,0,25,9,2016
57,192,0,2,10,2016
57,170,0,9,10,2016
57,159,1,16,10,2016
57,143,0,23,10,2016
57,127,0,30,10,2016
57,110,0,6,11,2016
57,163,1,13,11,2016
57,93,1,20,11,2016
57,125,0,27,11,2016
57,109,0,4,12,2016
57,110,1,11,12,2016
57,86,0,18,12,2016
57,64,1,25,12,2016
57,69,0,1,1,2017
63,43,0,10,1,2016
63,35,0,17,1,2016
63,37,0,24,1,2016
63,24,0,31,1,2016
63,41,0,7,2,2016
63,26,0,14,2,2016
63,38,0,21,2,2016
63,26,0,28,2,2016
63,22,0,6,3,2016
63,11,0,13,3,2016
63,16,0,20,3,2016
63,21,0,27,3,2016
63,18,0,3,4,2016
63,18,0,10,4,2016
63,27,0,17,4,2016
63,17,0,24,4,2016
63,7,0,1,5,2016
63,14,0,8,5,2016
63,4,0,15,5,2016
63,5,0,22,5,2016
63,9,0,29,5,2016
63,1,0,5,6,2016
63,8,0,12,6,2016
63,2,0,19,6,2016
63,6,0,26,6,2016
63,6,0,3,7,2016
63,5,0,10,7,2016
63,2,0,17,7,2016
63,10,0,24,7,2016
63,11,0,31,7,2016
63,13,0,7,8,2016
63,15,0,14,8,2016
63,15,0,21,8,2016
63,13,0,28,8,2016
63,20,0,4,9,2016
63,30,0,11,9,2016
63,23,0,18,9,2016
63,18,1,25,9,2016
63,13,0,2,10,2016
63,13,0,9,10,2016
63,11,0,16,10,2016
63,8,0,23,10,2016
63,19,0,30,10,2016
63,16,0,6,11,2016
63,16,0,13,11,2016
63,12,0,20,11,2016
63,18,1,27,11,2016
63,14,0,4,12,2016
63,16,0,11,12,2016
63,11,0,18,12,2016
63,9,0,25,12,2016
63,6,0,1,1,2017
71,2,0,10,1,2016
71,3,0,17,1,2016
71,13,0,24,1,2016
71,12,0,31,1,2016
71,14,0,7,2,2016
71,7,0,14,2,2016
71,15,0,21,2,2016
71,7,0,28,2,2016
71,7,0,6,3,2016
71,4,0,13,3,2016
71,13,0,20,3,2016
71,1,0,27,3,2016
71,1,0,3,4,2016
71,1,0,10,4,2016
71,3,0,17,4,2016
71,3,0,24,4,2016
71,2,0,1,5,2016
71,3,0,8,5,2016
71,1,0,15,5,2016
71,2,0,22,5,2016
71,1,0,29,5,2016
71,5,0,5,6,2016
71,3,0,12,6,2016
71,1,0,19,6,2016
71,2,0,26,6,2016
71,2,0,3,7,2016
71,6,0,10,7,2016
71,3,0,17,7,2016
71,5,0,24,7,2016
71,5,0,31,7,2016
71,7,0,7,8,2016
71,10,0,14,8,2016
71,6,1,21,8,2016
71,10,0,28,8,2016
71,8,0,4,9,2016
71,2,0,11,9,2016
71,1,0,18,9,2016
71,4,0,25,9,2016
71,4,0,2,10,2016
71,3,0,9,10,2016
71,6,0,16,10,2016
71,5,0,23,10,2016
71,1,0,30,10,2016
71,4,0,6,11,2016
71,1,1,13,11,2016
71,3,0,20,11,2016
71,4,0,27,11,2016
71,7,0,4,12,2016
71,2,0,11,12,2016
71,6,0,18,12,2016
71,5,0,25,12,2016
71,3,0,1,1,2017
72,9,0,10,1,2016
72,7,0,17,1,2016
72,7,0,24,1,2016
72,5,0,31,1,2016
72,8,0,7,2,2016
72,7,0,14,2,2016
72,7,0,21,2,2016
72,11,0,28,2,2016
72,9,1,6,3,2016
72,11,0,13,3,2016
72,4,0,20,3,2016
72,5,0,27,3,2016
72,5,0,3,4,2016
72,5,0,10,4,2016
72,7,0,17,4,2016
72,4,0,24,4,2016
72,2,0,1,5,2016
72,4,0,8,5,2016
72,2,0,15,5,2016
72,1,0,22,5,2016
72,4,0,29,5,2016
72,2,0,5,6,2016
72,2,0,12,6,2016
72,4,0,19,6,2016
72,4,0,26,6,2016
72,9,0,3,7,2016
72,9,0,10,7,2016
72,8,1,17,7,2016
72,8,0,24,7,2016
72,12,0,31,7,2016
72,21,0,7,8,2016
