loc,cases,deaths,month
94,1120,5,12
95,66,1,1
95,90,0,2
95,136,0,3
95,15,0,4
95,9,1,5
95,92,0,6
95,33,0,7
95,36,0,8
95,110,11,9
95,147,15,10
95,133,1,11
95,59,0,12
96,192,0,1
96,218,2,2
96,179,1,3
96,82,0,4
96,92,1,5
96,492,0,6
96,413,1,7
96,835,5,8
96,1011,4,9
96,492,0,10
96,346,1,11
96,237,1,12
97,1154,5,1
97,1198,1,2
97,699,0,3
97,374,1,4
97,354,1,5
97,923,1,6
97,1729,3,7
97,2865,5,8
97,3579,12,9
97,2481,7,10
97,1619,4,11
97,1236,1,12
98,2555,21,1
98,2349,11,2
98,1452,5,3
98,874,8,4
98,692,6,5
98,1158,12,6
98,3804,31,7
98,6371,53,8
98,6639,466,9
98,4215,531,10
98,2997,51,11
98,2174,13,12
99,459,2,1
99,334,0,2
99,164,0,3
99,95,1,4
99,107,0,5
99,192,0,6
99,315,1,7
99,662,1,8
99,1046,0,9
99,816,4,10
99,590,1,11
99,503,1,12
100,2141,17,1
100,1977,11,2
100,1618,18,3
100,764,6,4
100,538,3,5
100,810,4,6
100,2507,22,7
100,4427,29,8
100,5315,39,9
100,2952,29,10
100,2271,19,11
100,2366,19,12
101,54,1,1
101,96,0,2
101,79,0,3
101,64,0,4
101,45,0,5
101,106,0,6
101,324,2,7
101,528,6,8
101,412,3,9
101,149,1,10
101,177,0,11
101,49,0,12
102,597,0,1
102,630,2,2
102,446,1,3
102,262,0,4
102,329,1,5
102,486,1,6
102,1123,3,7
102,2802,4,8
102,2839,15,9
102,1269,13,10
102,849,3,11
102,807,3,12
103,94,0,1
103,57,0,2
103,60,0,3
103,25,0,4
103,15,0,5
103,26,0,6
103,121,0,7
103,246,0,8
103,290,33,9
103,224,28,10
103,180,1,11
103,99,0,12
104,107,3,1
104,82,0,2
104,81,0,3
104,24,0,4
104,33,0,5
104,52,0,6
104,107,1,7
104,234,4,8
104,283,3,9
104,176,3,10
104,125,0,11
104,91,1,12
105,641,5,1
105,661,2,2
105,676,4,3
105,403,0,4
105,429,0,5
105,491,2,6
105,685,3,7
105,771,3,8
105,614,149,9
105,469,173,10
105,473,4,11
105,469,4,12
106,157,0,1
106,125,0,2
106,101,0,3
106,71,0,4
106,52,1,5
106,48,0,6
106,164,2,7
106,285,1,8
106,245,12,9
106,192,16,10
106,206,0,11
106,194,2,12
107,180,0,1
107,151,3,2
107,159,2,3
107,102,1,4
107,92,1,5
107,159,2,6
107,411,3,7
107,650,2,8
107,730,3,9
107,341,0,10
107,267,3,11
107,273,3,12
108,1321,9,1
108,1203,5,2
108,1333,6,3
108,1156,9,4
108,1109,6,5
108,1746,10,6
108,3097,12,7
108,2971,4,8
108,1676,356,9
108,1137,415,10
108,1071,13,11
108,1294,10,12
109,223,1,1
109,262,2,2
109,302,1,3
109,138,1,4
109,114,2,5
109,134,2,6
109,264,2,7
109,321,1,8
109,435,12,9
109,250,22,10
109,247,4,11
109,186,1,12
110,393,1,1
110,463,1,2
110,449,4,3
110,285,0,4
110,400,3,5
110,942,6,6
110,1196,3,7
110,761,4,8
110,461,51,9
110,258,55,10
110,177,2,11
110,160,1,12
111,70,1,1
111,54,0,2
111,44,1,3
111,38,3,4
111,18,0,5
111,46,4,6
111,55,1,7
111,64,3,8
111,70,11,9
111,58,8,10
111,67,0,11
111,58,1,12
112,400,1,1
112,374,1,2
112,254,1,3
112,121,0,4
112,116,0,5
112,164,0,6
112,238,2,7
112,321,3,8
112,309,48,9
112,258,69,10
112,261,2,11
112,341,0,12
113,519,1,1
113,544,3,2
113,293,0,3
113,181,1,4
113,193,1,5
113,238,1,6
113,331,0,7
113,396,3,8
113,368,41,9
113,343,94,10
113,434,3,11
113,663,2,12
114,951,0,1
114,796,1,2
114,550,1,3
114,307,1,4
114,374,0,5
114,415,0,6
114,633,3,7
114,616,2,8
114,586,64,9
114,545,107,10
114,664,0,11
114,872,2,12
115,345,3,1
115,284,0,2
115,213,1,3
115,129,1,4
115,86,0,5
115,132,0,6
115,608,5,7
115,1313,2,8
115,590,14,9
115,316,32,10
115,143,1,11
115,254,1,12
116,453,0,1
116,422,2,2
116,212,1,3
116,81,1,4
116,55,0,5
116,86,1,6
116,247,2,7
116,536,3,8
116,1027,73,9
116,908,83,10
116,809,14,11
116,735,10,12
117,176,2,1
117,193,0,2
117,352,0,3
117,78,2,4
117,54,0,5
117,68,0,6
117,114,0,7
117,116,0,8
117,127,31,9
117,109,44,10
117,65,0,11
117,112,0,12
118,1968,5,1
118,1672,3,2
118,943,1,3
118,402,0,4
118,448,1,5
118,1028,3,6
118,2970,10,7
118,4235,8,8
118,3454,2,9
118,2483,8,10
118,1845,3,11
118,1528,1,12
119,36,1,1
119,62,0,2
119,49,1,3
119,46,0,4
119,28,0,5
119,49,0,6
119,38,0,7
119,36,0,8
119,43,1,9
119,18,2,10
119,24,0,11
119,31,0,12
120,387,0,1
120,360,1,2
120,224,1,3
120,136,2,4
120,142,0,5
120,209,0,6
120,554,2,7
120,766,1,8
120,925,70,9
120,571,90,10
120,453,21,11
120,402,2,12
121,327,0,1
121,288,2,2
121,231,1,3
121,117,1,4
121,102,1,5
121,219,1,6
121,1244,5,7
121,1781,2,8
121,827,2,9
121,552,2,10
121,559,0,11
121,219,0,12
122,1019,5,1
122,963,5,2
122,830,8,3
122,575,2,4
122,856,4,5
122,1655,8,6
122,5404,6,7
122,2050,10,8
122,1801,37,9
122,1057,70,10
122,893,8,11
122,906,6,12
123,872,7,1
123,730,3,2
123,533,1,3
123,324,1,4
123,327,1,5
123,520,4,6
123,1087,8,7
123,1759,12,8
123,1245,33,9
123,1039,45,10
123,1011,8,11
123,843,5,12
124,401,4,1
124,527,3,2
124,491,6,3
124,411,3,4
124,694,7,5
124,1109,4,6
124,1507,11,7
124,1526,10,8
124,827,30,9
124,428,45,10
124,284,2,11
124,267,1,12
125,287,2,1
125,363,2,2
125,492,1,3
125,443,6,4
125,776,3,5
125,1340,5,6
125,1483,7,7
125,1077,2,8
125,743,23,9
125,537,19,10
125,574,3,11
125,295,1,12
